2020-03-04 18:43:13,73.4*F
2020-03-04 18:43:15,73.4*F
2020-03-04 18:43:18,73.4*F
2020-03-04 18:43:20,73.4*F
2020-03-04 18:43:22,73.4*F
2020-03-04 18:43:24,73.4*F
2020-03-04 18:43:29,73.4*F
2020-03-04 18:43:31,73.4*F
2020-03-04 19:30:53,73.4*F
2020-03-04 19:30:55,73.4*F
2020-03-04 19:30:57,73.4*F
2020-03-04 19:30:59,73.4*F
2020-03-04 19:31:04,73.4*F
2020-03-04 19:31:06,73.4*F
2020-03-04 19:33:03,73.4*F
2020-03-04 19:33:05,73.4*F
2020-03-04 19:33:07,73.4*F
2020-03-04 19:33:10,73.4*F
2020-03-10 10:56:36,86.0*F,27%
2020-03-10 10:57:40,73.4*F,27%
2020-03-10 11:04:05,73.4*F,27%H
2020-03-10 11:05:08,73.4*F,28%H
2020-03-10 11:06:12,77.0*F,25%H
2020-03-10 11:07:15,77.0*F,26%H
2020-03-10 11:08:19,78.8*F,58%H
2020-03-10 11:09:23,91.4*F,13%H
2020-03-10 11:10:29,100.4*F,17%H
2020-03-10 11:11:33,87.8*F,20%H
2020-03-10 11:12:36,82.4*F,22%H
2020-03-10 11:13:40,78.8*F,24%H
2020-03-10 12:08:01,78.8*F,29%H
2020-03-10 12:09:04,73.4*F,29%H
2020-03-10 12:13:29,73.4*F,26%H
2020-03-10 12:14:32,78.8*F,29%H
2020-03-10 12:15:40,86.0*F,20%H
2020-03-10 12:25:17,86.0*F,29%H
2020-03-10 12:26:23,78.8*F,24%H
